"","created_at","avg_sentiment","avg_weighted_sentiment","total_tweets","negative","positive","neutral","contestant"
"77",2022-06-11,1.45569620253165,35.9873417721519,79,28,50,1,"Andrew"
"78",2022-06-11,1.84699453551913,-69.8688524590164,183,36,141,6,"Dami"
"79",2022-06-11,0.479310344827586,29.6965517241379,290,122,160,8,"Davide"
"80",2022-06-11,0.814285714285714,11.7285714285714,70,27,37,6,"Ekin-Su"
"81",2022-06-11,0.617322834645669,2.53858267716535,635,256,356,23,"Gemma"
"82",2022-06-11,1.16857142857143,410.531428571429,350,102,220,28,"Ikenna"
"83",2022-06-11,1.70036101083032,672.234657039711,277,60,195,22,"Indiyah"
"84",2022-06-11,2.58823529411765,4.94117647058824,17,2,15,NA,"Jacques"
"85",2022-06-11,1.19240506329114,23.1240506329114,395,116,253,26,"Liam"
"86",2022-06-11,0.733333333333333,-44.3047619047619,315,120,180,15,"Luca"
"87",2022-06-11,1.67340067340067,-56.3198653198653,297,73,211,13,"Paige"
"88",2022-06-11,1.57017543859649,35.8333333333333,114,35,78,1,"Tasha"
"89",2022-06-12,0.664605873261206,-16.7109737248841,647,254,370,23,"Afia"
"90",2022-06-12,1.67576791808874,325.996587030717,293,72,214,7,"Amber"
"91",2022-06-12,1.34745762711864,130.411016949153,236,73,150,13,"Andrew"
"92",2022-06-12,2.83831775700935,240.279439252336,1070,146,908,16,"Dami"
"93",2022-06-12,0.407862407862408,140.782800982801,2035,847,1090,98,"Davide"
"94",2022-06-12,0.595854922279793,27.020725388601,1158,446,662,50,"Ekin-Su"
"95",2022-06-12,0.322982426207132,48.9211738611158,5861,2467,3142,252,"Gemma"
"96",2022-06-12,1.36289381563594,54.7479579929988,857,245,571,41,"Ikenna"
"97",2022-06-12,1.47000895255148,107.483437779767,1117,291,780,46,"Indiyah"
"98",2022-06-12,0.849789915966387,-38.8876050420168,952,342,567,43,"Jacques"
"99",2022-06-12,2,18,1,NA,1,NA,"Jay"
"100",2022-06-12,1.43718592964824,151.417085427136,199,62,126,11,"Liam"
"101",2022-06-12,0.126722817764165,37.2094180704441,2612,1197,1275,140,"Luca"
