"","created_at","avg_sentiment","avg_weighted_sentiment","total_tweets","negative","positive","neutral","contestant"
"1",2022-06-06,4,6568,1,NA,1,NA,"Afia"
"2",2022-06-06,1.48915662650602,155.768674698795,1245,320,887,38,"Amber"
"3",2022-06-06,1.22574257425743,9.79405940594059,505,133,356,16,"Andrew"
"4",2022-06-06,1.23781263247139,17.6668079694786,2359,650,1628,81,"Dami"
"5",2022-06-06,1.01782752902156,-367.431177446103,2412,818,1503,91,"Davide"
"6",2022-06-06,0.169104354971241,-65.3181594083813,6085,2638,3194,253,"Gemma"
"7",2022-06-06,0.397626112759644,9.22403560830861,2022,808,1132,82,"Ikenna"
"8",2022-06-06,1.19442041522491,42.4666955017301,4624,1311,3168,145,"Indiyah"
"9",2022-06-06,0.749501661129568,216.067774086379,1505,517,924,64,"Liam"
"10",2022-06-06,0.902826855123675,31.2482332155477,1132,360,718,54,"Luca"
"11",2022-06-06,1.6437125748503,26.6077844311377,1002,250,719,33,"Paige"
"12",2022-06-06,2.11244019138756,131.806220095694,836,161,661,14,"Tasha"
"13",2022-06-07,0.780487804878049,-17.1056910569106,123,45,76,2,"Afia"
"14",2022-06-07,1.16326530612245,46.2935635792779,637,188,418,31,"Amber"
"15",2022-06-07,0.953995157384988,-25.0363196125908,413,139,259,15,"Andrew"
"16",2022-06-07,1.37443946188341,219.530269058296,892,230,614,48,"Dami"
"17",2022-06-07,0.335664335664336,35.2287390029325,4433,1850,2394,189,"Davide"
"18",2022-06-07,1.125,54.0892857142857,56,16,39,1,"Ekin-Su"
"19",2022-06-07,0.248525879012885,-0.332168595763268,4579,1914,2446,219,"Gemma"
"20",2022-06-07,0.48582995951417,-76.0782726045884,741,300,399,42,"Ikenna"
"21",2022-06-07,0.891278375149343,48.9396654719235,1674,560,1045,69,"Indiyah"
"22",2022-06-07,0.728923476005188,-28.5408560311284,1542,529,934,79,"Liam"
"23",2022-06-07,1.2858384013901,97.3040834057341,1151,332,785,34,"Luca"
"24",2022-06-07,2.01941747572816,-81.4757281553398,824,161,631,32,"Paige"
"25",2022-06-07,1.89916743755782,29.2053654024052,1081,238,811,32,"Tasha"
"26",2022-06-08,1.23404255319149,546.648936170213,94,37,56,1,"Afia"
"27",2022-06-08,1.55839822024472,219.914349276974,899,241,633,25,"Amber"
"28",2022-06-08,-0.386587771203156,-95.5869822485207,2535,1334,1062,139,"Andrew"
"29",2022-06-08,1.43690736688549,97.7862873814734,1371,372,955,44,"Dami"
"30",2022-06-08,0.207275803722504,-45.4892836999436,3546,1509,1885,152,"Davide"
"31",2022-06-08,0.548780487804878,-71.9634146341463,82,33,45,4,"Ekin-Su"
"32",2022-06-08,0.179394197952218,-24.0492747440273,4688,2009,2454,225,"Gemma"
"33",2022-06-08,0.890909090909091,205.695454545455,660,221,416,23,"Ikenna"
"34",2022-06-08,1.16060606060606,113.987121212121,1320,394,873,53,"Indiyah"
"35",2022-06-08,0.832639151836426,45.01060204468,2641,895,1616,130,"Liam"
"36",2022-06-08,0.658175559380379,-79.0017211703959,2905,1055,1720,130,"Luca"
"37",2022-06-08,1.35164835164835,-331.975824175824,910,262,611,37,"Paige"
"38",2022-06-08,1.13047619047619,-217.452380952381,1050,334,660,56,"Tasha"
"39",2022-06-09,1.02679528403001,15.3033226152197,933,287,603,43,"Afia"
"40",2022-06-09,1.26688102893891,25.2508038585209,311,83,209,19,"Amber"
"41",2022-06-09,0.464285714285714,0.0535714285714286,224,81,130,13,"Andrew"
"42",2022-06-09,1.60587002096436,-15.4947589098532,477,98,362,17,"Dami"
"43",2022-06-09,0.368249258160237,4.49525222551929,3370,1420,1813,137,"Davide"
"44",2022-06-09,0.748023194517659,0.140748550342646,1897,657,1165,75,"Ekin-Su"
"45",2022-06-09,-0.00430144528561596,-6.00103234686855,5812,2779,2776,257,"Gemma"
"46",2022-06-09,1.16632016632017,5.67151767151767,481,113,353,15,"Ikenna"
"47",2022-06-09,0.831140350877193,-5.59429824561404,456,143,283,30,"Indiyah"
"48",2022-06-09,1.4380333197887,21.6741162129216,2461,598,1780,83,"Liam"
"49",2022-06-09,0.529656607700312,-7.11134235171696,961,358,554,49,"Luca"
"50",2022-06-09,0.967362924281984,25.6475195822454,766,231,491,44,"Paige"
"51",2022-06-09,1.12209302325581,3.47674418604651,172,51,113,8,"Tasha"
